position,positional_rank,ttl_2023,ttl_2024,ttl_2025,expected_points_fraction,expected_points_decimal_50,formula
QB,21,196.7,188.6,199.3,2923/15,194.86666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
QB,22,172.0,187.1,190.9,550/3,183.33333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
QB,23,162.2,174.9,184.5,2608/15,173.86666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
QB,24,154.7,167.6,181.2,1007/6,167.83333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
QB,25,153.2,166.3,175.7,2476/15,165.06666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
QB,26,133.6,155.9,156.5,446/3,148.66666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
QB,27,131.9,152.2,143.7,713/5,142.6,(ttl_2023+ttl_2024+ttl_2025)/3
QB,28,126.9,143.1,141.2,2056/15,137.06666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
QB,29,118.4,142.3,136.0,3967/30,132.23333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
QB,30,115.0,124.5,132.5,124/1,124.0,(ttl_2023+ttl_2024+ttl_2025)/3
QB,31,114.2,120.1,129.4,3637/30,121.23333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
QB,32,108.8,120.1,123.3,587/5,117.4,(ttl_2023+ttl_2024+ttl_2025)/3
QB,33,106.0,114.6,117.3,3379/30,112.63333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
QB,34,96.0,106.3,117.3,1598/15,106.53333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
QB,35,90.8,101.5,103.6,2959/30,98.633333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
QB,36,75.4,91.5,98.3,442/5,88.4,(ttl_2023+ttl_2024+ttl_2025)/3
QB,37,73.7,90.4,89.9,254/3,84.666666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
QB,38,73.6,80.6,80.8,235/3,78.333333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
QB,39,73.1,79.7,75.3,2281/30,76.033333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
QB,40,71.7,76.3,72.1,2201/30,73.366666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
QB,41,70.0,65.0,67.0,202/3,67.333333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
QB,42,63.0,57.6,64.5,617/10,61.7,(ttl_2023+ttl_2024+ttl_2025)/3
QB,43,59.3,53.0,56.7,169/3,56.333333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
QB,44,53.7,48.1,52.8,773/15,51.533333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
QB,45,52.1,46.2,51.2,299/6,49.833333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
QB,46,52.0,26.1,44.8,1229/30,40.966666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
QB,47,32.1,23.5,40.1,319/10,31.9,(ttl_2023+ttl_2024+ttl_2025)/3
QB,48,31.6,21.1,34.7,437/15,29.133333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
QB,49,28.1,21.0,26.4,151/6,25.166666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
QB,50,26.1,20.1,26.3,145/6,24.166666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
RB,1,357.8,338.8,356.9,2107/6,351.16666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
RB,2,255.2,297.8,334.4,1479/5,295.8,(ttl_2023+ttl_2024+ttl_2025)/3
RB,3,242.2,293.4,325.5,8611/30,287.03333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
RB,4,239.0,280.9,309.6,553/2,276.5,(ttl_2023+ttl_2024+ttl_2025)/3
RB,5,224.6,264.0,289.3,2593/10,259.3,(ttl_2023+ttl_2024+ttl_2025)/3
RB,6,224.5,255.1,284.2,1273/5,254.6,(ttl_2023+ttl_2024+ttl_2025)/3
RB,7,216.8,242.8,259.4,719/3,239.66666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
RB,8,211.4,241.9,235.7,689/3,229.66666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
RB,9,207.1,231.3,231.6,670/3,223.33333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
RB,10,204.0,230.3,231.1,1109/5,221.8,(ttl_2023+ttl_2024+ttl_2025)/3
RB,11,195.5,228.0,225.3,3244/15,216.26666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
RB,12,194.7,220.1,219.1,2113/10,211.3,(ttl_2023+ttl_2024+ttl_2025)/3
RB,13,191.9,219.2,213.8,2083/10,208.3,(ttl_2023+ttl_2024+ttl_2025)/3
