position,positional_rank,ttl_2023,ttl_2024,ttl_2025,expected_points_fraction,expected_points_decimal_50,formula
WR,63,83.0,98.4,75.9,2573/30,85.766666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
WR,64,81.5,96.1,75.5,2531/30,84.366666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
WR,65,80.4,92.9,73.6,823/10,82.3,(ttl_2023+ttl_2024+ttl_2025)/3
WR,66,80.1,92.7,72.9,819/10,81.9,(ttl_2023+ttl_2024+ttl_2025)/3
WR,67,79.7,92.0,72.5,407/5,81.4,(ttl_2023+ttl_2024+ttl_2025)/3
WR,68,79.4,90.8,71.4,1208/15,80.533333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
WR,69,79.2,90.5,71.4,2411/30,80.366666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
WR,70,75.5,90.4,71.3,1186/15,79.066666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
WR,71,74.4,87.9,70.8,777/10,77.7,(ttl_2023+ttl_2024+ttl_2025)/3
WR,72,74.2,85.3,70.6,767/10,76.7,(ttl_2023+ttl_2024+ttl_2025)/3
WR,73,73.9,83.8,69.6,2273/30,75.766666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
