bvm_rank,fixture_player_id,source_row,player,team,position,ttl_fraction,season_baseline_fraction,season_vor_fraction,season_percentile_fraction,weekly_net_vor_fraction,weekly_percentile_fraction,bvm_value_fraction,bvm_value_decimal_50
137,FP2025:keon-coleman:WR:0238,238,Keon Coleman,BUF,WR,151/2,997/10,-121/5,50350/649,-26/1,51350/649,50650/649,78.04314329738058551617873651771956856702619414483821
138,FP2025:oronde-gadsden-ii:TE:0182,182,Oronde Gadsden II,LAC,TE,518/5,1189/10,-153/10,51550/649,-228/5,47650/649,4580/59,77.62711864406779661016949152542372881355932203389831
139,FP2025:kendrick-bourne:WR:0243,243,Kendrick Bourne,SF,WR,368/5,997/10,-261/10,4550/59,-279/10,50950/649,50320/649,77.53466872110939907550077041602465331278890600924499
140,FP2025:darius-slayton:WR:0245,245,Darius Slayton,NYG,WR,729/10,997/10,-134/5,49950/649,-143/5,50850/649,50220/649,77.38058551617873651771956856702619414483821263482280
141,FP2025:alvin-kamara:RB:0217,217,Alvin Kamara,NO,RB,421/5,566/5,-29/1,49250/649,-103/5,52350/649,50180/649,77.31895223420647149460708782742681047765793528505393
142,FP2025:marvin-mims-jr:WR:0246,246,Marvin Mims Jr.,DEN,WR,145/2,997/10,-136/5,49850/649,-29/1,50750/649,50120/649,77.22650231124807395993836671802773497688751926040062
143,FP2025:zach-ertz:TE:0185,185,Zach Ertz,WAS,TE,507/5,1189/10,-35/2,51350/649,-239/5,4250/59,49970/649,76.99537750385208012326656394453004622496147919876733
144,FP2025:jordan-love:QB:0026,26,Jordan Love,GB,QB,2411/10,2411/10,0/1,4900/59,-747/10,40750/649,49955/649,76.97226502311248073959938366718027734976887519260401
145,FP2025:tucker-kraft:TE:0186,186,Tucker Kraft,GB,TE,506/5,1189/10,-177/10,51250/649,-48/1,46550/649,49840/649,76.79506933744221879815100154083204930662557781201849
146,FP2025:adonai-mitchell:WR:0251,251,Adonai Mitchell,NYJ,WR,357/5,997/10,-283/10,49600/649,-301/10,50400/649,49840/649,76.79506933744221879815100154083204930662557781201849
147,FP2025:andrei-iosivas:WR:0252,252,Andrei Iosivas,CIN,WR,357/5,997/10,-283/10,49600/649,-301/10,50400/649,49840/649,76.79506933744221879815100154083204930662557781201849
